id;description;pickup;jhi_drop;source;destination;current_location;status;detention;chasis_in_time;pod;pod_content_type;hazmat;recieved_by
1;Central African Republic;2019-11-14T17:59:12;2019-11-15T03:53:19;heuristic Orchestrator Naira;Legacy Unbranded Plastic Chips;Unbranded Cotton Table Generic B2B;ONROAD;38826;2019-11-15T00:36:42;../fake-data/blob/hipster.png;image/png;false;analyzing holistic
2;Architect;2019-11-14T16:20:11;2019-11-15T08:18:59;dynamic schemas;Pound Sterling Keyboard;Licensed Usability models;DELIVERED;87666;2019-11-14T12:18:24;../fake-data/blob/hipster.png;image/png;true;Chair
3;drive online;2019-11-14T09:23:52;2019-11-14T09:26:44;engage;disintermediate Assistant generating;Practical Steel Shirt Plastic Movies;DELIVERED;53434;2019-11-14T09:05:57;../fake-data/blob/hipster.png;image/png;true;Customer Rhode Island capacitor
4;navigating Ergonomic Falls;2019-11-15T05:59:32;2019-11-15T03:03:27;mission-critical white SMTP;Checking Account global Steel;Borders Springs connecting;ONROAD;96797;2019-11-14T19:37:47;../fake-data/blob/hipster.png;image/png;false;redundant Connecticut Burg
5;transmit Credit Card Account;2019-11-14T16:11:40;2019-11-14T13:46:16;Corporate;Industrial seamless;withdrawal Jamaica;ONROAD;54744;2019-11-14T20:45:23;../fake-data/blob/hipster.png;image/png;false;Regional middleware Switzerland
6;Data Granite Configuration;2019-11-14T21:16:53;2019-11-14T14:38:18;Practical Steel Chips;Berkshire concept;Illinois robust;PICKEDUP;40030;2019-11-15T05:45:37;../fake-data/blob/hipster.png;image/png;true;Mouse Rupiah
7;Human Mission;2019-11-14T17:04:15;2019-11-14T09:44:16;Savings Account;Licensed Wooden Pants;e-business;PICKEDUP;53442;2019-11-14T22:02:01;../fake-data/blob/hipster.png;image/png;false;Regional
8;Bedfordshire;2019-11-14T16:31:22;2019-11-15T01:22:27;Licensed;Credit Card Account Sleek;Sausages streamline Home;PICKEDUP;53659;2019-11-15T00:12:03;../fake-data/blob/hipster.png;image/png;true;Polarised navigate
9;Roads bypass;2019-11-15T08:12:42;2019-11-15T05:32:47;Metal;Internal Buckinghamshire Antarctica (the territory South of 60 deg S);ADP;PICKEDUP;73740;2019-11-15T00:02:14;../fake-data/blob/hipster.png;image/png;false;Kentucky
10;blue internet solution Concrete;2019-11-14T11:43:11;2019-11-15T00:51:43;Ranch impactful;Berkshire Awesome;pixel Pennsylvania;PICKEDUP;33744;2019-11-15T00:22:42;../fake-data/blob/hipster.png;image/png;true;Home Loan Account Grass-roots
