id;number;type;size;insurance
1;Director Personal Loan Account;TRAILER;FIFTYTHREE;hacking
2;scalable;TRAILER;FORTYTHREE;Regional
3;Agent TCP;CHASIS;FORTYTHREE;mint green Director system
4;Buckinghamshire;CHASIS;FORTYTHREE;Applications
5;Montenegro;CONTAINER;FORTYTHREE;orange Trinidad and Tobago Dollar Gorgeous
6;UAE Dirham;CHASIS;FORTYTHREE;infrastructures Mobility Representative
7;Shirt;CHASIS;FORTYTHREE;back-end
8;Mouse open-source payment;CONTAINER;FORTYTHREE;Central Money Market Account
9;index Borders;CONTAINER;FORTYTHREE;experiences
10;Credit Card Account;CHASIS;FORTYTHREE;Liaison copy program
