id;booking_no;invoice_total;invoice_due_date;status
1;Hat;53408;2019-11-14T23:04:27;ONROAD
2;Directives;32320;2019-11-15T03:50:30;PICKEDUP
3;Versatile Exclusive Moroccan Dirham;71227;2019-11-15T01:52:16;PICKEDUP
4;Personal Loan Account;50267;2019-11-14T23:13:38;ONROAD
5;deposit Canadian Dollar Lebanon;44778;2019-11-14T09:26:12;DELIVERED
6;Ergonomic transmitter;36778;2019-11-14T21:48:18;DELIVERED
7;optical;15071;2019-11-15T01:23:36;DELIVERED
8;Clothing;51209;2019-11-14T13:39:51;PICKEDUP
9;Quality;39757;2019-11-14T23:48:38;ONROAD
10;Concrete Global SMS;25794;2019-11-15T03:36:25;ONROAD
