id;description;qty;price;total;status;shipment_number;bol
1;content-based Executive;96541;89721;55829;OVERDRAFT;programming SCSI drive;invoice Unbranded Cheese
2;New Zealand Dollar Alabama transform;94013;66350;97366;SENT;Buckinghamshire Ports;Devolved driver Networked
3;Fish;36646;64963;74417;PAID;withdrawal Ergonomic;Strategist target
4;Investor users dot-com;64510;57690;66892;PAID;Alaska;deposit Chips Applications
5;uniform PCI back up;95307;92831;33075;PARTIALLY_PAID;Incredible functionalities fuchsia;infrastructure
6;mesh;39469;93615;84421;SENT;Open-architected;FTP
7;calculating Metal array;55281;29359;29651;DRAFT;Beauty Auto Loan Account;deposit
8;extend Unbranded Fresh Pants Tools;57886;9398;43847;GENERATED;Specialist generating;Computers Small Fresh Gloves back-end
9;interface;82786;76999;27154;PAID;backing up;Iran
10;Philippine Peso Metal;13274;97585;96953;PAID;bypass Ameliorated;Brand
