id;start_date;end_date;language
1;2019-11-15T03:39:09;2019-11-15T00:50:49;SPANISH
2;2019-11-15T07:28:11;2019-11-14T17:01:19;SPANISH
3;2019-11-14T20:18:05;2019-11-15T03:33:09;FRENCH
4;2019-11-14T17:01:29;2019-11-15T07:50:10;ENGLISH
5;2019-11-14T21:55:39;2019-11-15T01:05:12;FRENCH
6;2019-11-14T10:06:35;2019-11-14T10:00:45;SPANISH
7;2019-11-15T04:16:12;2019-11-15T05:00:03;SPANISH
8;2019-11-14T14:56:41;2019-11-15T09:03:46;ENGLISH
9;2019-11-14T10:50:25;2019-11-14T23:54:42;SPANISH
10;2019-11-15T05:26:04;2019-11-15T08:36:42;SPANISH
